fold_id,test_year,endpoint_id,endpoint_label,variant_id,n_predictors_raw,n_encoded_features_train,n_encoded_features_final,selected_rounds,tune_score
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,604,0.131548644219358
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_PMHX,36,61,61,431,0.13156273111565
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,CORE_NEURO,24,32,32,417,0.134165141923355
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,CORE_NEURO_PLUS_RESP,26,41,41,372,0.134017012066183
TEST_2024,2024,discharge_3cat_final,Disposition,FULL_REFERENCE,48,73,73,1284,0.578808976361082
TEST_2024,2024,discharge_3cat_final,Disposition,NO_RESP_ASSISTANCE,47,69,69,1285,0.579242778004888
TEST_2024,2024,discharge_3cat_final,Disposition,NO_RESP_SUPPORT,46,64,64,1387,0.580140117978238
TEST_2024,2024,discharge_3cat_final,Disposition,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,1284,0.579899041159265
TEST_2024,2024,discharge_3cat_final,Disposition,NO_AIRWAY_PROXY_SET,44,62,62,1167,0.581141850969114
TEST_2024,2024,discharge_3cat_final,Disposition,NO_HELMET,47,68,68,1385,0.579435253486344
TEST_2024,2024,discharge_3cat_final,Disposition,NO_MECHANISM_HELMET,46,61,61,1194,0.58283628381123
TEST_2024,2024,discharge_3cat_final,Disposition,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,1288,0.601933974113024
TEST_2024,2024,discharge_3cat_final,Disposition,NO_PMHX,36,61,61,957,0.588835007442376
TEST_2024,2024,discharge_3cat_final,Disposition,CORE_NEURO,24,32,32,790,0.621009991209398
TEST_2024,2024,discharge_3cat_final,Disposition,CORE_NEURO_PLUS_RESP,26,41,41,806,0.618516848450044
TEST_2024,2024,icu_trajectory_final,ICU trajectory,FULL_REFERENCE,48,73,73,1453,0.68318465763177
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_RESP_ASSISTANCE,47,69,69,1524,0.683576416954915
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_RESP_SUPPORT,46,64,64,1413,0.685503703289712
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,1439,0.68388741844107
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_AIRWAY_PROXY_SET,44,62,62,1390,0.686400935427044
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_HELMET,47,68,68,1360,0.683306244955045
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_MECHANISM_HELMET,46,61,61,1313,0.685635899754162
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,1369,0.70324241036888
TEST_2024,2024,icu_trajectory_final,ICU trajectory,NO_PMHX,36,61,61,1311,0.687956869245572
TEST_2024,2024,icu_trajectory_final,ICU trajectory,CORE_NEURO,24,32,32,928,0.71811277202075
TEST_2024,2024,icu_trajectory_final,ICU trajectory,CORE_NEURO_PLUS_RESP,26,41,41,905,0.714281652835963
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,FULL_REFERENCE,48,73,73,1089,0.346741101293116
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_ASSISTANCE,47,69,69,990,0.347336529750612
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_SUPPORT,46,64,64,1088,0.349018716063885
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,1021,0.347530247529643
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_AIRWAY_PROXY_SET,44,62,62,1034,0.350876911491167
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_HELMET,47,68,68,1029,0.346879325984902
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_MECHANISM_HELMET,46,61,61,1033,0.348618789910431
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,999,0.354259794653099
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_PMHX,36,61,61,1016,0.348897896480503
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO,24,32,32,793,0.366326302743414
TEST_2024,2024,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO_PLUS_RESP,26,41,41,735,0.36176164415299
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,FULL_REFERENCE,48,73,73,1452,0.582157149739024
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_RESP_ASSISTANCE,47,69,69,1362,0.582414541898306
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_RESP_SUPPORT,46,64,64,1378,0.583233564539684
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,1279,0.582903331322421
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_AIRWAY_PROXY_SET,44,62,62,1303,0.583821446449528
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_HELMET,47,68,68,1281,0.582498554477078
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_MECHANISM_HELMET,46,61,61,1087,0.585157005917977
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,1087,0.608240559259276
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,NO_PMHX,36,61,61,1086,0.587170867984475
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,CORE_NEURO,24,32,32,765,0.622928333840645
TEST_2024,2024,hlos_trajectory_final,Hospital LOS trajectory,CORE_NEURO_PLUS_RESP,26,41,41,787,0.620140162392024
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,FULL_REFERENCE,48,73,73,569,0.105120828972483
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_RESP_ASSISTANCE,47,69,69,546,0.105172495885203
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_RESP_SUPPORT,46,64,64,632,0.105197612453454
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,541,0.105197109110644
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_AIRWAY_PROXY_SET,44,62,62,557,0.105340470159792
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_HELMET,47,68,68,545,0.105121689470067
